date,forecast,model,variable
2026-07-01,15.817572463768114,naive,PM2.5
2026-08-01,15.817572463768114,naive,PM2.5
2026-09-01,15.817572463768114,naive,PM2.5
2026-10-01,15.817572463768114,naive,PM2.5
2026-11-01,15.817572463768114,naive,PM2.5
2026-12-01,15.817572463768114,naive,PM2.5
2026-07-01,21.743934811827955,seasonal_naive,PM2.5
2026-08-01,19.30999663978495,seasonal_naive,PM2.5
2026-09-01,18.117482638888887,seasonal_naive,PM2.5
2026-10-01,15.471790994623657,seasonal_naive,PM2.5
2026-11-01,13.439913194444443,seasonal_naive,PM2.5
2026-12-01,13.06762432795699,seasonal_naive,PM2.5
2026-07-01,15.565432630197414,arima,PM2.5
2026-08-01,15.738754974263845,arima,PM2.5
2026-09-01,15.619612217138725,arima,PM2.5
2026-10-01,15.701511620541293,arima,PM2.5
2026-11-01,15.645213508599394,arima,PM2.5
2026-12-01,15.683913148359203,arima,PM2.5
2026-07-01,19.640262129654232,prophet_additive,PM2.5
2026-08-01,18.703315188337896,prophet_additive,PM2.5
2026-09-01,17.240339349601882,prophet_additive,PM2.5
2026-10-01,15.643305682922561,prophet_additive,PM2.5
2026-11-01,14.340105944512787,prophet_additive,PM2.5
2026-12-01,13.679899326796724,prophet_additive,PM2.5
2026-07-01,18.540646005308375,random_forest,PM2.5
2026-08-01,18.38455825291989,random_forest,PM2.5
2026-09-01,17.591172949483397,random_forest,PM2.5
2026-10-01,16.569301245783805,random_forest,PM2.5
2026-11-01,14.237131447601284,random_forest,PM2.5
2026-12-01,13.363805777661463,random_forest,PM2.5
2026-07-01,17.007767210144927,naive,PM10
2026-08-01,17.007767210144927,naive,PM10
2026-09-01,17.007767210144927,naive,PM10
2026-10-01,17.007767210144927,naive,PM10
2026-11-01,17.007767210144927,naive,PM10
2026-12-01,17.007767210144927,naive,PM10
2026-07-01,23.850554435483872,seasonal_naive,PM10
2026-08-01,20.24099462365591,seasonal_naive,PM10
2026-09-01,18.931944444444444,seasonal_naive,PM10
2026-10-01,16.340692204301074,seasonal_naive,PM10
2026-11-01,14.234166666666669,seasonal_naive,PM10
2026-12-01,14.27953629032258,seasonal_naive,PM10
2026-07-01,16.853646209471282,arima,PM10
2026-08-01,16.96043821734708,arima,PM10
2026-09-01,16.886440949639912,arima,PM10
2026-10-01,16.937714408553564,arima,PM10
2026-11-01,16.902186507721147,arima,PM10
2026-12-01,16.926804151318855,arima,PM10
2026-07-01,21.24612077890981,prophet_additive,PM10
2026-08-01,19.645508352253852,prophet_additive,PM10
2026-09-01,17.337293445192916,prophet_additive,PM10
2026-10-01,14.884532522709733,prophet_additive,PM10
2026-11-01,12.889013037888573,prophet_additive,PM10
2026-12-01,11.830004969846105,prophet_additive,PM10
2026-07-01,17.189124144594736,random_forest,PM10
2026-08-01,16.28996002272589,random_forest,PM10
2026-09-01,16.121844488927,random_forest,PM10
2026-10-01,16.046588216787608,random_forest,PM10
2026-11-01,16.045127635559687,random_forest,PM10
2026-12-01,15.805014399200964,random_forest,PM10
